"IncomeE","Majority","LUOF_logical","Income10k","White","Black","No_Majority","Latino","Decile"
53534,"White",0,5.3534,1,0,0,0,4
43400,"White",0,4.34,1,0,0,0,3
59699,"Black",0,5.9699,0,1,0,0,5
31188,"Black",0,3.1188,0,1,0,0,1
40735,"Black",0,4.0735,0,1,0,0,2
18929,"Black",0,1.8929,0,1,0,0,1
16552,"Black",0,1.6552,0,1,0,0,1
127601,"White",0,12.7601,1,0,0,0,10
48750,"White",0,4.875,1,0,0,0,3
28862,"Black",0,2.8862,0,1,0,0,1
27500,"Black",0,2.75,0,1,0,0,1
21875,"Black",0,2.1875,0,1,0,0,1
20536,"Black",0,2.0536,0,1,0,0,1
46333,"White",0,4.6333,1,0,0,0,3
42582,"White",0,4.2582,1,0,0,0,2
53819,"White",0,5.3819,1,0,0,0,4
26342,"Black",0,2.6342,0,1,0,0,1
36332,"White",0,3.6332,1,0,0,0,2
57239,"White",0,5.7239,1,0,0,0,5
49911,"White",0,4.9911,1,0,0,0,4
38319,"Black",0,3.8319,0,1,0,0,2
23221,"Black",1,2.3221,0,1,0,0,1
31424,"White",0,3.1424,1,0,0,0,1
33400,"White",0,3.34,1,0,0,0,1
44063,"White",0,4.4063,1,0,0,0,3
51343,"White",0,5.1343,1,0,0,0,4
24557,"Black",0,2.4557,0,1,0,0,1
41875,"White",0,4.1875,1,0,0,0,2
35605,"Black",1,3.5605,0,1,0,0,2
39025,"Black",0,3.9025,0,1,0,0,2
29390,"Black",0,2.939,0,1,0,0,1
37206,"Black",0,3.7206,0,1,0,0,2
27396,"Black",0,2.7396,0,1,0,0,1
27148,"Black",0,2.7148,0,1,0,0,1
46778,"Black",0,4.6778,0,1,0,0,3
73309,"White",0,7.3309,1,0,0,0,7
26681,"Black",0,2.6681,0,1,0,0,1
32024,"No Majority",0,3.2024,0,0,1,0,1
25323,"Black",0,2.5323,0,1,0,0,1
15979,"Black",0,1.5979,0,1,0,0,1
15245,"Black",0,1.5245,0,1,0,0,1
29057,"Black",0,2.9057,0,1,0,0,1
41364,"White",0,4.1364,1,0,0,0,2
30362,"Black",0,3.0362,0,1,0,0,1
34341,"White",0,3.4341,1,0,0,0,1
17647,"No Majority",0,1.7647,0,0,1,0,1
49659,"White",0,4.9659,1,0,0,0,3
99000,"White",0,9.9,1,0,0,0,9
60827,"No Majority",0,6.0827,0,0,1,0,5
27110,"Black",0,2.711,0,1,0,0,1
67813,"White",0,6.7813,1,0,0,0,6
"NA","Black",0,"NA",0,1,0,0,""
36065,"Black",0,3.6065,0,1,0,0,2
107500,"White",0,10.75,1,0,0,0,9
87664,"White",0,8.7664,1,0,0,0,8
"NA","No Majority",0,"NA",0,0,1,0,""
14596,"Black",0,1.4596,0,1,0,0,1
37128,"Black",0,3.7128,0,1,0,0,2
26372,"Black",0,2.6372,0,1,0,0,1
49258,"White",0,4.9258,1,0,0,0,3
44567,"White",0,4.4567,1,0,0,0,3
34087,"White",0,3.4087,1,0,0,0,1
36777,"Black",0,3.6777,0,1,0,0,2
67059,"White",0,6.7059,1,0,0,0,6
17705,"White",0,1.7705,1,0,0,0,1
19151,"White",0,1.9151,1,0,0,0,1
85781,"White",0,8.5781,1,0,0,0,8
57727,"White",0,5.7727,1,0,0,0,5
68000,"White",1,6.8,1,0,0,0,6
77727,"White",1,7.7727,1,0,0,0,7
46549,"White",0,4.6549,1,0,0,0,3
75216,"White",0,7.5216,1,0,0,0,7
124375,"White",0,12.4375,1,0,0,0,10
25189,"Black",0,2.5189,0,1,0,0,1
22440,"Black",0,2.244,0,1,0,0,1
35938,"Black",0,3.5938,0,1,0,0,2
36042,"Black",0,3.6042,0,1,0,0,2
28872,"Black",1,2.8872,0,1,0,0,1
53636,"Black",0,5.3636,0,1,0,0,4
68266,"White",0,6.8266,1,0,0,0,6
24010,"Black",0,2.401,0,1,0,0,1
71737,"White",0,7.1737,1,0,0,0,7
31789,"No Majority",0,3.1789,0,0,1,0,1
48900,"White",0,4.89,1,0,0,0,3
26885,"Black",0,2.6885,0,1,0,0,1
63450,"White",0,6.345,1,0,0,0,6
48466,"Black",0,4.8466,0,1,0,0,3
42038,"White",0,4.2038,1,0,0,0,2
40373,"White",0,4.0373,1,0,0,0,2
39000,"Black",0,3.9,0,1,0,0,2
41038,"White",0,4.1038,1,0,0,0,2
32344,"White",0,3.2344,1,0,0,0,1
26771,"Black",0,2.6771,0,1,0,0,1
53098,"White",0,5.3098,1,0,0,0,4
61362,"White",1,6.1362,1,0,0,0,5
105168,"White",0,10.5168,1,0,0,0,9
64228,"White",0,6.4228,1,0,0,0,6
30620,"White",0,3.062,1,0,0,0,1
36328,"Black",0,3.6328,0,1,0,0,2
27218,"White",0,2.7218,1,0,0,0,1
44673,"White",0,4.4673,1,0,0,0,3
