Race,Poverty_Quintile,Race_Total_Pop_Millions,Race_Quintile_Proportion,Deaths_Rate,Deaths_Race_Quintile,Race_Quintile_Pop,White_Proportion,Total_Killed_Race,Counterfactual_Pop,Counterfactual_Deaths
White,1,197,0.096,7.9,149,18.912,0.096,774,18.912,149
White,2,197,0.173,5.5,187,34.081,0.173,774,34.081,187
White,3,197,0.215,4.3,182,42.355,0.215,774,42.355,182
White,4,197,0.246,3.1,150,48.462,0.246,774,48.462,150
White,5,197,0.27,2,106,53.19,0.27,774,53.19,106
Black,1,40.1,0.366,12.3,181,14.6766,0.096,403,3.8496,47.47540984
Black,2,40.1,0.238,10.3,98,9.5438,0.173,403,6.9373,71.23529412
Black,3,40.1,0.162,8.6,56,6.4962,0.215,403,8.6215,74.32098765
Black,4,40.1,0.133,7.7,41,5.3333,0.246,403,9.8646,75.83458647
Black,5,40.1,0.101,6.7,27,4.0501,0.27,403,10.827,72.17821782
Latino,1,63.7,0.311,4.7,93,19.8107,0.096,264,6.1152,28.7073955
Latino,2,63.7,0.244,4.6,71,15.5428,0.173,264,11.0201,50.34016393
Latino,3,63.7,0.185,3.8,45,11.7845,0.215,264,13.6955,52.2972973
Latino,4,63.7,0.151,3.7,36,9.6187,0.246,264,15.6702,58.64900662
Latino,5,63.7,0.109,2.8,19,6.9433,0.27,264,17.199,47.06422018
