unique_id,race,race_imputed,imputation_probability,date,city,state,zip,county,agencies,highest_force,armed,weapon,aggressive,fleeing,intended_use_of_force,GEOID,NAME,IncomeE,IncomeM,Total_popE,Total_popM,NH_WhiteE,NH_WhiteM,NH_BlackE,NH_BlackM,NH_AsianE,NH_AsianM,Hisp_LatinoE,Hisp_LatinoM,income_tertile,income_quartile,income_quintiles,income_quintiles_nolab,income_sextile,income_septile,income_octile,income_nonile,income_decile,income_15_quant,income_ventile,income_50_quantiles,income_bins,income_bins_100,NH_WhiteP,NH_BlackP,NH_AsianP,Hisp_LatinoP,Majority
29414,White,White,NA,2020-12-31,Beaumont,TX,77707,Jefferson,Beaumont Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Not fleeing,Deadly force,48245001302,"Census Tract 13.02, Jefferson County, Texas",54736,16093,3570,599,765,236,1623,559,459,366,663,396,2,2,2nd Quintile,2,3,3,4,4,4,6,8,20,77,39,0.21428571428571427,0.4546218487394958,0.12857142857142856,0.18571428571428572,NA
29415,Hispanic/Latino,Hispanic/Latino,NA,2020-12-31,Miami,FL,33133,Miami-Dade,Miami Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,12086007007,"Census Tract 70.07, Miami-Dade County, Florida",46333,8520,1977,376,353,254,66,92,353,240,1205,257,1,1,2nd Quintile,2,2,2,2,3,3,4,5,13,50,25,0.17855336368234698,0.03338391502276176,0.17855336368234698,0.6095093576125442,Hispanic/Latino
29404,Other/Unknown,Other/Unknown,NA,2020-12-30,Stroudsburg,PA,18360,Monroe,Pennsylvania State Police,Gunshot,Armed,Firearm/Replica firearm,Brandished weapon,Not fleeing,Deadly force,42089301101,"Census Tract 3011.01, Monroe County, Pennsylvania",59438,12104,6375,353,4929,584,510,331,91,142,616,421,2,2,3rd Quintile,3,3,4,4,5,5,7,10,23,92,46,0.7731764705882352,0.08,0.01427450980392157,0.09662745098039216,White
29406,Black,Black,NA,2020-12-30,Minneapolis,MN,55407,Hennepin,Minneapolis Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Not fleeing,Deadly force,27053109700,"Census Tract 1097, Hennepin County, Minnesota",86111,13180,2476,334,1580,297,203,106,26,21,520,174,3,4,4th Quintile,4,5,6,7,7,8,12,16,38,151,76,0.6381260096930533,0.08198707592891762,0.01050080775444265,0.210016155088853,White
29407,White,White,NA,2020-12-30,Wichita,KS,67203,Sedgwick,Wichita Police Department,Gunshot,Armed,Firearm/Gun,Uncertain,Not fleeing,Deadly force,20173001400,"Census Tract 14, Sedgwick County, Kansas",63068,8444,3571,386,2796,290,172,131,9,12,457,255,2,3,3rd Quintile,3,4,4,5,5,6,8,11,26,102,51,0.782973956874825,0.04816577989358723,0.002520302436292355,0.12797535704284513,White
29409,Other/Unknown,Other/Unknown,NA,2020-12-30,Ammon,ID,83406,Bonneville,Bonneville County Sheriff's Office,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,16019970505,"Census Tract 9705.05, Bonneville County, Idaho",38243,18037,4863,712,4341,683,87,120,57,63,206,131,1,1,1st Quintile,1,1,1,2,2,2,3,3,7,28,14,0.8926588525601481,0.017890191239975324,0.011721159777914868,0.04236068270614847,White
29410,Other/Unknown,White,0.966773,2020-12-30,Waverly,TN,37185,Humphreys,"Waverly Police Department, Humphreys County Sheriff's Office",Gunshot,Armed,Firearm/Handgun,Used weapon,Fleeing/Foot,Deadly force,47085130300,"Census Tract 1303, Humphreys County, Tennessee",40500,10482,5153,378,4720,437,176,98,9,17,176,136,1,1,1st Quintile,1,1,2,2,2,2,3,4,9,33,17,0.9159712788666796,0.03415486124587619,0.0017465554046186688,0.03415486124587619,White
29411,Black,Black,NA,2020-12-30,Keyser,WV,26726,Mineral,Mineral County Sheriff's Office,Gunshot,Unarmed,None,Sudden threatening movement,Not fleeing,Deadly force,54057010500,"Census Tract 105, Mineral County, West Virginia",49656,6346,4307,627,3818,573,197,159,28,42,14,23,1,2,2nd Quintile,2,2,3,3,3,3,5,6,15,60,30,0.886463895983283,0.04573949384722545,0.00650104481077316,0.00325052240538658,White
29399,Other/Unknown,Other/Unknown,NA,2020-12-29,Brooklyn,NY,11212,New York City,City of New York Police Department,Gunshot,Armed,Edged weapon/Machete,Advanced on officer(s),Not fleeing,Deadly force,36047089800,"Census Tract 898, Kings County, New York",64444,28194,1907,520,57,46,1288,275,9,14,140,121,2,3,3rd Quintile,3,4,4,5,5,6,8,11,27,106,53,0.029889879391714735,0.6754063974829575,0.0047194546407970635,0.07341373885684321,Black
29390,Black,Black,NA,2020-12-29,Atlanta,GA,30310,Fulton,U.S. Marshals Service,Gunshot,Armed,Firearm/Gun,Used weapon,Not fleeing,Deadly force,13121006300,"Census Tract 63, Fulton County, Georgia",36143,5491,1668,382,70,63,1499,404,0,14,29,32,1,1,1st Quintile,1,1,1,1,2,2,2,3,6,23,12,0.04196642685851319,0.8986810551558753,0,0.01738609112709832,Black
