Quintile,Race,pop_quint_race,race_total_pop,Prop_living_in_tract,LUOF_Quint_Race,LUOF_RaceTotal,Proportion_LUOF,Rate,white_prop,prop_x_rate
1,Black,14548721,39639567,0.37,842,1769,0.48,96.46,0.12,35.4
1,Hispanic/Latino,13462541,59062195,0.23,408,1267,0.32,50.51,0.12,11.51
2,Black,8391139,39639567,0.21,355,1769,0.2,70.51,0.19,14.93
2,Hispanic/Latino,13302322,59062195,0.23,303,1267,0.24,37.96,0.19,8.55
3,Black,6631959,39639567,0.17,248,1769,0.14,62.32,0.21,10.43
3,Hispanic/Latino,12168110,59062195,0.21,239,1267,0.19,32.74,0.21,6.74
4,Black,5744847,39639567,0.14,206,1769,0.12,59.76,0.23,8.66
4,Hispanic/Latino,11578554,59062195,0.2,192,1267,0.15,27.64,0.23,5.42
5,Black,4322901,39639567,0.11,118,1769,0.07,45.49,0.25,4.96
5,Hispanic/Latino,8550668,59062195,0.14,125,1267,0.1,24.36,0.25,3.53
