unique_id,race,race_imputed,imputation_probability,date,city,state,zip,county,agencies,highest_force,armed,weapon,aggressive,fleeing,intended_use_of_force,GEOID
29414,European-American/White,European-American/White,,2020-12-31,Beaumont,TX,77707,Jefferson,Beaumont Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Not fleeing,Deadly force,48245001302
29415,Hispanic/Latino,Hispanic/Latino,,2020-12-31,Miami,FL,33133,Miami-Dade,Miami Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,12086007007
29404,Asian/Pacific Islander,Asian/Pacific Islander,,2020-12-30,Stroudsburg,PA,18360,Monroe,Pennsylvania State Police,Gunshot,Armed,Firearm/Replica firearm,Brandished weapon,Not fleeing,Deadly force,42089301101
29406,African-American/Black,African-American/Black,,2020-12-30,Minneapolis,MN,55407,Hennepin,Minneapolis Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Not fleeing,Deadly force,27053109700
29407,European-American/White,European-American/White,,2020-12-30,Wichita,KS,67203,Sedgwick,Wichita Police Department,Gunshot,Armed,Firearm/Gun,Uncertain,Not fleeing,Deadly force,20173001400
29409,Asian/Pacific Islander,Asian/Pacific Islander,,2020-12-30,Ammon,ID,83406,Bonneville,Bonneville County Sheriff's Office,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,16019970505
29410,Race unspecified,European-American/White,0.966773,2020-12-30,Waverly,TN,37185,Humphreys,"Waverly Police Department, Humphreys County Sheriff's Office",Gunshot,Armed,Firearm/Handgun,Used weapon,Fleeing/Foot,Deadly force,47085130300
29411,African-American/Black,African-American/Black,,2020-12-30,Keyser,WV,26726,Mineral,Mineral County Sheriff's Office,Gunshot,Unarmed,None,Sudden threatening movement,Not fleeing,Deadly force,54057010500
29399,Race unspecified,,,2020-12-29,Brooklyn,NY,11212,New York City,City of New York Police Department,Gunshot,Armed,Edged weapon/Machete,Advanced on officer(s),Not fleeing,Deadly force,36047089800
29390,African-American/Black,African-American/Black,,2020-12-29,Atlanta,GA,30310,Fulton,U.S. Marshals Service,Gunshot,Armed,Firearm/Gun,Used weapon,Not fleeing,Deadly force,13121006300
29397,African-American/Black,African-American/Black,,2020-12-29,Charleston,SC,29403,Charleston,Charleston Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Not fleeing,Deadly force,45019005400
29400,European-American/White,European-American/White,,2020-12-29,Modesto,CA,95358,Stanislaus,Modesto Police Department,Gunshot,Unarmed,None,Uncertain,Not fleeing,Deadly force,06099000601
29402,African-American/Black,African-American/Black,,2020-12-29,Highland,CA,92410,San Bernardino,San Bernardino Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Fleeing/Foot,Deadly force,06071006304
29383,Race unspecified,European-American/White,0.970281,2020-12-28,Warrenton,OR,97146,Clatsop,Clatsop County Sheriff's Office,Gunshot,Armed,Firearm/Gun,Brandished weapon,Not fleeing,Deadly force,41007951300
29384,Hispanic/Latino,Hispanic/Latino,,2020-12-28,Brockton,MA,02301,Plymouth,Brockton Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,25023510501
29385,Asian/Pacific Islander,Asian/Pacific Islander,,2020-12-28,Kaneohe,HI,96744,Honolulu,Honolulu Police Department,Gunshot,Unarmed,None,None/Police alleged vehicular assault,Fleeing/Vehicle,Deadly force,15003010305
29386,African-American/Black,African-American/Black,,2020-12-28,Phoenix,AZ,85017,Maricopa,Phoenix Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,04013116900
29387,African-American/Black,African-American/Black,,2020-12-28,Denver,CO,80220,Denver,Denver Police Department,Gunshot,Unarmed,None,Sudden threatening movement,Fleeing/Vehicle,Deadly force,08031004310
29392,Race unspecified,European-American/White,0.613431,2020-12-28,Phoenix,AZ,85017,Maricopa,Phoenix Police Department,Gunshot,Unarmed,None,Sudden threatening movement,Not fleeing,Deadly force,04013106900
29393,Race unspecified,,,2020-12-28,Holyoke,CO,80734,Phillips,Holyoke Police Department,Gunshot,Armed,Firearm/Gun,Used weapon,Fleeing/Vehicle,Deadly force,08095967600
29394,Race unspecified,,,2020-12-28,Hesperia,CA,92345,San Bernardino,San Bernardino County Sheriff's Office,Gunshot,Armed,Firearm/Rifle,Sudden threatening movement,Not fleeing,Deadly force,06071010019
29379,European-American/White,European-American/White,,2020-12-27,Lewiston,ID,83501,Nez Perce,Lewiston Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,16069961000
29380,African-American/Black,African-American/Black,,2020-12-27,Davisboro,GA,31018,Washington,Georgia Department of Corrections,Gunshot,Armed,Firearm/Gun,Used weapon,Fleeing/Foot,Deadly force,13303950500
29378,African-American/Black,African-American/Black,,2020-12-26,Hartford,CT,06114,Hartford,Hartford Police Department,Gunshot,Armed,Firearm/Rifle,Brandished weapon,Not fleeing,Deadly force,09003502400
29369,African-American/Black,African-American/Black,,2020-12-25,Houston,TX,77032,Harris,Harris County Sheriff's Office,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,48201222702
29366,Hispanic/Latino,Hispanic/Latino,,2020-12-25,Philadelphia,PA,19134,Philadelphia,Philadelphia Police Department,Gunshot,Armed,Firearm/Gun,Used weapon,Not fleeing,No,42101018801
29367,Hispanic/Latino,Hispanic/Latino,,2020-12-25,Philadelphia,PA,19134,Philadelphia,Philadelphia Police Department,Gunshot,Unarmed,None,None,Not fleeing,Deadly force,42101018801
29370,Hispanic/Latino,Hispanic/Latino,,2020-12-25,Rio Rico,AZ,85648,Santa Cruz,Santa Cruz County Sheriff's Office,Gunshot,Armed,Vehicle,Intentional vehicular assault,Not fleeing,Deadly force,04023966110
29361,Race unspecified,African-American/Black,0.648259,2020-12-24,Oakland,TN,38060,Fayette,Oakland Police Department,Gunshot,Armed,Edged weapon/Knives,Used weapon,Not fleeing,Deadly force,47047060402
29364,European-American/White,European-American/White,,2020-12-24,Redding,CA,96003,Shasta,Redding Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,06089010803
29359,European-American/White,European-American/White,,2020-12-23,Dalton,NH,03598,Coos,New Hampshire State Police,Gunshot,Armed,Firearm/Uncertain,Used weapon,Not fleeing,Deadly force,33007951100
29668,Asian/Pacific Islander,Asian/Pacific Islander,,2020-12-23,Antioch,CA,94509,Contra Costa,Antioch Police Department,Asphyxiated/Restrained,Unarmed,None,None,Not fleeing,Less-than-lethal force,06013305000
29348,African-American/Black,African-American/Black,,2020-12-22,Columbus,OH,43221,Franklin,Columbus Police Department,Gunshot,Unarmed,None,None,Not fleeing,Deadly force,39049007811
29351,Hispanic/Latino,Hispanic/Latino,,2020-12-22,Glendale,AZ,85301,Maricopa,Glendale Police Department,Gunshot,Armed,Blunt object/Metal bar,Advanced toward officer(s),Not fleeing,Deadly force,04013092600
29353,European-American/White,European-American/White,,2020-12-22,Joliet,IL,60433,Will,Joliet Police Department,Gunshot,Armed,Firearm/Pellet gun,Brandished weapon,Not fleeing,Deadly force,17197882400
29345,African-American/Black,African-American/Black,,2020-12-21,Mobile,AL,36609,Mobile,Prichard Police Department,Gunshot,Uncertain,Uncertain,Uncertain,Uncertain,Deadly force,01097003207
29347,European-American/White,European-American/White,,2020-12-21,Wichita,KS,67206,Sedgwick,Wichita Police Department,Gunshot,Unarmed,None,None,Fleeing/Vehicle,Deadly force,20173007301
29342,European-American/White,European-American/White,,2020-12-20,Standish,ME,04084,Cumberland,Gorham Police Department,Gunshot,Unarmed,None,None,Fleeing/Vehicle,Pursuit,23005017004
29343,European-American/White,European-American/White,,2020-12-20,Anchorage,AK,99508,Anchorage,Anchorage Police Department,Gunshot,Unarmed,None,Sudden threatening movement,Fleeing/Foot,Deadly force,02020000802
29341,Hispanic/Latino,Hispanic/Latino,,2020-12-19,Lennox,CA,90304,Los Angeles,Los Angeles County Sheriff's Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,06037601801
29334,European-American/White,European-American/White,,2020-12-18,Oshtemo Township,MI,49009,Kalamazoo,Kalamazoo County Sheriff's Office,Gunshot,Armed,Edged weapon/Knife,Brandished weapon,Not fleeing,Deadly force,26077002908
29335,African-American/Black,African-American/Black,,2020-12-18,Chicago,IL,60651,Cook,Chicago Police Department,Gunshot,Unarmed,None,None,Not fleeing,Deadly force,17031250700
29336,European-American/White,European-American/White,,2020-12-18,Jefferson,ME,04348,Lincoln,Lincoln County Sheriff's Office,Gunshot,Armed,Firearm/Rifle,Brandished weapon,Not fleeing,Deadly force,23015975100
