Year,OriginalCode,Recode
1990,P0010001,pop_90
1990,P0120001,white_90
1990,P0050001,hh_90
1990,P0570001,total_25_col_9th_90
1990,P0570002,total_25_col_12th_90
1990,P0570003,total_25_col_hs_90
1990,P0570004,total_25_col_sc_90
1990,P0570005,total_25_col_ad_90
1990,P0570006,total_25_col_bd_90
1990,P0570007,total_25_col_gd_90
1990,H061A001,mhval_90
1990,H043A001,mrent_90
1990,P080A001,hinc_90
1990,H0080001,ohu_90
1990,H0080002,rhu_90
1990,P0800001,I_5000_90
1990,P0800002,I_10000_90
1990,P0800003,I_12500_90
1990,P0800004,I_15000_90
1990,P0800005,I_17500_90
1990,P0800006,I_20000_90
1990,P0800007,I_22500_90
1990,P0800008,I_25000_90
1990,P0800009,I_27500_90
1990,P0800010,I_30000_90
1990,P0800011,I_32500_90
1990,P0800012,I_35000_90
1990,P0800013,I_37500_90
1990,P0800014,I_40000_90
1990,P0800015,I_42500_90
1990,P0800016,I_45000_90
1990,P0800017,I_47500_90
1990,P0800018,I_50000_90
1990,P0800019,I_55000_90
1990,P0800020,I_60000_90
1990,P0800021,I_75000_90
1990,P0800022,I_100000_90
1990,P0800023,I_125000_90
1990,P0800024,I_150000_90
1990,P0800025,I_150001_90
2012,B25077_001E,mhval_12
2012,B25077_001M,mhval_12_se
2012,B25064_001E,mrent_12
2012,B25064_001M,mrent_12_se
2012,B07010_025E,mov_wc_w_income_12
2012,B07010_026E,mov_wc_9000_12
2012,B07010_027E,mov_wc_15000_12
2012,B07010_028E,mov_wc_25000_12
2012,B07010_029E,mov_wc_35000_12
2012,B07010_030E,mov_wc_50000_12
2012,B07010_031E,mov_wc_65000_12
2012,B07010_032E,mov_wc_75000_12
2012,B07010_033E,mov_wc_76000_more_12
2012,B07010_036E,mov_oc_w_income_12
2012,B07010_037E,mov_oc_9000_12
2012,B07010_038E,mov_oc_15000_12
2012,B07010_039E,mov_oc_25000_12
2012,B07010_040E,mov_oc_35000_12
2012,B07010_041E,mov_oc_50000_12
2012,B07010_042E,mov_oc_65000_12
2012,B07010_043E,mov_oc_75000_12
2012,B07010_044E,mov_oc_76000_more_12
2012,B07010_047E,mov_os_w_income_12
2012,B07010_048E,mov_os_9000_12
2012,B07010_049E,mov_os_15000_12
2012,B07010_050E,mov_os_25000_12
2012,B07010_051E,mov_os_35000_12
2012,B07010_052E,mov_os_50000_12
2012,B07010_053E,mov_os_65000_12
2012,B07010_054E,mov_os_75000_12
2012,B07010_055E,mov_os_76000_more_12
2012,B07010_058E,mov_fa_w_income_12
2012,B07010_059E,mov_fa_9000_12
2012,B07010_060E,mov_fa_15000_12
2012,B07010_061E,mov_fa_25000_12
2012,B07010_062E,mov_fa_35000_12
2012,B07010_063E,mov_fa_50000_12
2012,B07010_064E,mov_fa_65000_12
2012,B07010_065E,mov_fa_75000_12
2012,B07010_066E,mov_fa_76000_more_12
2012,B06011_001E,iinc_12
2018,B03002_001E,pop_18
2018,B03002_003E,white_18
2018,B19001_001E,hh_18
2018,B19013_001E,hinc_18
2018,B25077_001E,mhval_18
2018,B25077_001M,mhval_18_se
2018,B25064_001E,mrent_18
2018,B25064_001M,mrent_18_se
2018,B25003_002E,ohu_18
2018,B25003_003E,rhu_18
2018,B25105_001E,mmhcosts_18
2018,B15003_001E,total_25_18
2018,B15003_022E,total_25_col_bd_18
2018,B15003_023E,total_25_col_md_18
2018,B15003_024E,total_25_col_pd_18
2018,B15003_025E,total_25_col_phd_18
2018,B25034_001E,tot_units_built_18
2018,B25034_010E,units_40_49_built_18
2018,B25034_011E,units_39_early_built_18
2018,B07010_025E,mov_wc_w_income_18
2018,B07010_026E,mov_wc_9000_18
2018,B07010_027E,mov_wc_15000_18
2018,B07010_028E,mov_wc_25000_18
2018,B07010_029E,mov_wc_35000_18
2018,B07010_030E,mov_wc_50000_18
2018,B07010_031E,mov_wc_65000_18
2018,B07010_032E,mov_wc_75000_18
2018,B07010_033E,mov_wc_76000_more_18
2018,B07010_036E,mov_oc_w_income_18
2018,B07010_037E,mov_oc_9000_18
2018,B07010_038E,mov_oc_15000_18
2018,B07010_039E,mov_oc_25000_18
2018,B07010_040E,mov_oc_35000_18
2018,B07010_041E,mov_oc_50000_18
2018,B07010_042E,mov_oc_65000_18
2018,B07010_043E,mov_oc_75000_18
2018,B07010_044E,mov_oc_76000_more_18
2018,B07010_047E,mov_os_w_income_18
2018,B07010_048E,mov_os_9000_18
2018,B07010_049E,mov_os_15000_18
2018,B07010_050E,mov_os_25000_18
2018,B07010_051E,mov_os_35000_18
2018,B07010_052E,mov_os_50000_18
2018,B07010_053E,mov_os_65000_18
2018,B07010_054E,mov_os_75000_18
2018,B07010_055E,mov_os_76000_more_18
2018,B07010_058E,mov_fa_w_income_18
2018,B07010_059E,mov_fa_9000_18
2018,B07010_060E,mov_fa_15000_18
2018,B07010_061E,mov_fa_25000_18
2018,B07010_062E,mov_fa_35000_18
2018,B07010_063E,mov_fa_50000_18
2018,B07010_064E,mov_fa_65000_18
2018,B07010_065E,mov_fa_75000_18
2018,B07010_066E,mov_fa_76000_more_18
2018,B06011_001E,iinc_18
2018,B19001_002E,I_10000_18
2018,B19001_003E,I_15000_18
2018,B19001_004E,I_20000_18
2018,B19001_005E,I_25000_18
2018,B19001_006E,I_30000_18
2018,B19001_007E,I_35000_18
2018,B19001_008E,I_40000_18
2018,B19001_009E,I_45000_18
2018,B19001_010E,I_50000_18
2018,B19001_011E,I_60000_18
2018,B19001_012E,I_75000_18
2018,B19001_013E,I_100000_18
2018,B19001_014E,I_125000_18
2018,B19001_015E,I_150000_18
2018,B19001_016E,I_200000_18
2018,B19001_017E,I_201000_18
2000,P004001,pop_00
2000,P004005,white_00
2000,H004001,hu_00
2000,H004002,ohu_00
2000,H004003,rhu_00
2000,P037001,total_25_00
2000,P037015,male_25_col_bd_00
2000,P037016,male_25_col_md_00
2000,P037017,male_25_col_psd_00
2000,P037018,male_25_col_phd_00
2000,P037032,female_25_col_bd_00
2000,P037033,female_25_col_md_00
2000,P037034,female_25_col_psd_00
2000,P037035,female_25_col_phd_00
2000,H085001,mhval_00
2000,H063001,mrent_00
2000,P052001,hh_00
2000,P053001,hinc_00
2000,P052002,I_10000_00
2000,P052003,I_15000_00
2000,P052004,I_20000_00
2000,P052005,I_25000_00
2000,P052006,I_30000_00
2000,P052007,I_35000_00
2000,P052008,I_40000_00
2000,P052009,I_45000_00
2000,P052010,I_50000_00
2000,P052011,I_60000_00
2000,P052012,I_75000_00
2000,P052013,I_100000_00
2000,P052014,I_125000_00
2000,P052015,I_150000_00
2000,P052016,I_200000_00
2000,P052017,I_201000_00
